整理番号,集計F,出馬,当選,候補者ID,イメージID,ブロックCD,都道府県CD,統合CD,選挙区CD,ブロック名,都道府県名,選挙区名,選挙区登録番号,比例登録番号,選挙区届出番号,名簿掲載順,候補者名,新旧,党派CD,集計党派CD,集計党派,党派名,,確認F,,,,,,,,,,,,,,,,,Q01-1,Q01-2,Q01-3,"Q02
","Q03
","Q04
","Q05
-01","Q05
-02","Q05
-03","Q05
-04","Q05
-05","Q05
-06","Q05
-07","Q05
-08","Q05
-09","Q06
","Q07
",Q08-01,Q08-02,Q08-03,Q08-04,Q08-05,Q08-06,Q09,Q10,"Q11
","Q12
","Q13
","Q14
","Q15
","Q16
","Q17
","Q18
","SQ　【Q18で01か02を選んだ人だけ】 
-01","SQ　【Q18で01か02を選んだ人だけ】 
-02","SQ　【Q18で01か02を選んだ人だけ】 
-03","SQ　【Q18で01か02を選んだ人だけ】 
-04","SQ　【Q18で01か02を選んだ人だけ】 
-05","SQ　【Q18で01か02を選んだ人だけ】 
-06","SQ　【Q18で01か02を選んだ人だけ】 
-07","SQ　【Q18で01か02を選んだ人だけ】 
-08","SQ　【Q18で01か02を選んだ人だけ】 
-09","SQ　【Q18で01か02を選んだ人だけ】 
-10","SQ　【Q18で01か02を選んだ人だけ】 
-11","SQ　【Q18で01か02を選んだ人だけ】 
-12","SQ　【Q18で01か02を選んだ人だけ】 
-13","SQ　【Q18で01か02を選んだ人だけ】 
-14","SQ　【Q18で01か02を選んだ人だけ】 
-15","SQ　【Q18で01か02を選んだ人だけ】 
-16","SQ　【Q18で01か02を選んだ人だけ】 
-17","SQ　【Q18で01か02を選んだ人だけ】 
-18","SQ　【Q18で01か02を選んだ人だけ】 
-19","SQ　【Q18で01か02を選んだ人だけ】 
-20","Q19
","Q20
",Q21,Q22,Q23,"Q24 
","Q25
","Q26
","Q27
-01","Q27
-02","Q27
-03","Q27
-04","Q27
-05","Q27
-06","Q27
-07","Q27
-08","Q27
-09","Q27
-10","Q28-01
",Q28-02,Q28-03,Q28-04,Q28-05,Q28-06,Q28-07,Q28-08,Q28-9
11,1,1,0,135890,YRYA01003XXX003K,81,1,01,3,北海ブ,北海道,北海３区,3,3,3,3,鳥越良孝,3,87,04,日本維新の会,維新,,○,,,,,,,,,,,,,,,,,01,04,07,03,01,01,,,,,,,,,09,01,01,03,03,01,02,03,01,03,02,02,02,02,02,03,03,03,01,,,03,,,,,08,,,,,,,,,,18,,,01,01,02,04,01,04,02,05,,,03,,05,06,07,08,09,10,30,30,60,100,50,70,50,50,50
12,1,1,0,136467,YRYA01003XXX004K,81,1,01,3,北海ブ,北海道,北海３区,4,0,4,0,伊藤理智子,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,01,06,07,03,04,01,,,,,,,,,09,01,05,04,01,01,01,01,01,03,04,05,05,03,05,04,02,02,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,04,02,03,01,,,,,,,,,,,0,0,35,0,100,0,40,50,0
13,1,1,0,136508,YRYA01003XXX005K,81,1,01,3,北海ブ,北海道,北海３区,5,0,1,0,増田健治,3,924,11,無所属,無所属,,○,,,,,,,,,,,,,,,,,14,07,12,04,04,04,,02,,,,,,,,02,04,04,03,02,03,02,02,02,04,05,04,03,04,03,02,02,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,04,02,03,02,,,,,,,07,,,,40,30,70,30,50,30,100,70,30
14,1,1,0,135751,YRYA01004XXX001K,81,1,01,4,北海ブ,北海道,北海４区,1,7,2,5,中村裕之,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,04,07,03,02,02,,,,,,,,,09,01,01,01,02,01,01,02,01,01,02,01,02,02,01,01,03,01,01,01,,03,,,,07,08,,10,,,,,,,,18,,,01,01,01,01,02,04,02,03,,02,,,,06,,,09,,80,80,0,30,0,50,20,0,30
15,1,1,0,135752,YRYA01004XXX002K,81,1,01,4,北海ブ,北海道,北海４区,2,5,3,6,大築紅葉,1,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,16,13,04,03,03,01,,02,,,,,,,,04,03,03,01,02,01,02,01,02,03,04,02,03,02,02,02,02,04,,,,,,,,,,,,,,,,,,,,,05,02,05,05,03,02,03,01,,,,,,06,,08,,,25,50,100,50,50,90,50,90,25
16,1,1,0,137296,YRYA01004XXX003K,81,1,01,4,北海ブ,北海道,北海４区,3,0,1,0,佐々木明美,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,11,07,14,03,05,01,,,,,,,,,09,05,05,04,01,02,01,01,01,03,04,05,05,03,05,05,01,01,05,,,,,,,,,,,,,,,,,,,,,05,04,05,05,05,04,03,01,,,,,,,,,,,0,0,20,0,100,0,20,30,0
17,1,1,0,137573,YRYA01004XXX004K,81,1,01,4,北海ブ,北海道,北海４区,4,0,4,0,斎藤佳代,3,916,11,無所属,無所属,,○,,,,,,,,,,,,,,,,,11,12,02,03,01,04,,,,,,,,,09,04,04,03,03,02,04,03,03,05,03,01,02,02,01,01,02,02,01,,02,03,04,,,,,,,,,,,,,,18,,,01,02,02,01,04,02,02,02,01,02,,04,,06,,,,,45,35,30,35,20,35,15,25,10
18,1,1,0,135866,YRYA01005XXX001K,81,1,01,5,北海ブ,北海道,北海５区,1,11,2,1,池田真紀,2,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,07,14,09,03,02,01,,,,,,,,,09,01,04,01,01,01,01,01,01,04,03,05,03,03,03,02,03,02,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,04,02,03,01,,,,,,06,07,08,,,10,10,100,40,40,60,60,60,0
19,1,1,0,135867,YRYA01005XXX002K,81,1,01,5,北海ブ,北海道,北海５区,2,0,1,0,和田義明,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,13,05,04,04,04,,,,,,,,,09,02,03,02,03,02,02,04,02,02,02,01,01,01,01,01,03,01,01,01,,03,,,,,08,,10,,,,,,,,18,,,01,01,01,01,02,03,02,04,,02,,,,,,,,,100,100,25,50,25,50,10,10,5
20,1,1,0,137619,YRYA01005XXX003K,81,1,01,5,北海ブ,北海道,北海５区,3,0,3,0,鈴木龍次,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,11,01,07,03,04,01,,,,,,,,,09,02,05,04,01,02,02,01,01,02,04,05,05,03,04,04,02,02,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,05,03,03,01,,,,,,,,,,,0,0,0,0,100,0,25,55,0
21,1,1,0,135868,YRYA01006XXX001K,81,1,01,6,北海ブ,北海道,北海６区,1,11,3,6,東国幹,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,21,01,11,03,05,05,01,,,,,,,,,01,02,02,01,02,02,04,02,02,02,01,01,01,01,01,04,02,01,,,03,,05,,,,,,,,,,,,17,18,,,01,,02,01,04,04,01,03,,02,,04,,,,,,,70,70,50,40,0,45,10,5,50
22,1,1,0,135869,YRYA01006XXX002K,81,1,01,6,北海ブ,北海道,北海６区,2,12,2,7,西川将人,3,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,16,14,13,02,04,02,01,,03,,,,,,,03,04,03,02,03,03,03,01,03,03,04,02,02,03,02,02,02,05,,,,,,,,,,,,,,,,,,,,,05,02,04,02,04,02,03,02,,,,,05,06,07,08,,,30,35,80,35,60,65,60,60,40
23,1,1,0,136023,YRYA01006XXX003K,81,1,01,6,北海ブ,北海道,北海６区,3,0,1,0,荻生和敏,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,01,07,06,03,04,01,,,,,,,,,09,04,04,02,02,02,02,01,01,03,04,05,05,03,05,05,03,03,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,05,02,03,01,,,03,,,,,,,,0,0,60,0,100,0,0,60,0
24,1,1,0,135711,YRYA01007XXX002K,81,1,01,7,北海ブ,北海道,北海７区,2,6,2,7,鈴木貴子,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,05,11,03,04,04,,,,,,,,,09,03,02,02,03,02,02,03,02,02,02,02,02,03,02,01,02,01,01,01,,03,,,,,,,10,,,,,,,,18,,20,01,01,03,01,04,03,02,01,,02,,,,,,,,,100,100,50,50,50,50,50,50,50
25,1,1,0,135712,YRYA01007XXX003K,81,1,01,7,北海ブ,北海道,北海７区,3,4,1,2,篠田奈保子,3,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,01,05,14,03,05,01,,,,,,,,,09,04,05,03,01,02,01,01,01,03,03,05,04,03,02,03,03,02,05,,,,,,,,,,,,,,,,,,,,,05,03,04,04,04,02,03,01,,,,,05,06,07,08,,,0,0,90,0,60,0,10,80,0
26,1,1,0,135856,YRYA01008XXX001K,81,1,01,8,北海ブ,北海道,北海８区,1,0,1,0,逢坂誠二,1,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,01,13,04,02,04,03,01,02,03,04,,,,08,,02,03,02,02,02,03,03,02,03,,04,03,02,02,01,01,01,04,,,,,,,,,,,,,,,,,,,,,05,02,05,04,04,02,03,02,,,,,,06,,08,,,50,50,100,50,50,70,50,70,50
27,1,1,0,136333,YRYA01008XXX002K,81,1,01,8,北海ブ,北海道,北海８区,2,13,3,8,向山淳,3,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,13,14,04,02,02,01,02,03,,05,,,,,03,03,03,03,02,02,03,02,03,02,02,01,02,01,01,02,01,01,,,03,,,,,,,,,,,,,,,18,,,01,01,02,02,02,03,03,02,,02,,,,,,,,,60,60,30,50,10,50,10,10,10
28,1,1,0,136664,YRYA01008XXX004K,81,1,01,8,北海ブ,北海道,北海８区,4,0,2,0,本間勝美,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,14,01,07,03,04,01,,,,04,,,,,,02,04,03,01,03,01,01,01,04,04,05,05,03,05,03,02,02,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,03,02,03,01,,,03,,,,07,08,,,0,0,0,0,100,0,20,80,0
29,1,1,0,135765,YRYA01009XXX001K,81,1,01,9,北海ブ,北海道,北海９区,1,7,3,8,山岡達丸,1,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,16,01,05,03,02,02,,,,,,,,08,,02,02,03,03,01,03,03,01,03,03,03,02,03,04,02,03,03,03,,,,,,,,,,,,,,,,,,,,,03,02,03,03,01,03,02,03,,,,,,,,,,,50,50,50,50,50,50,50,50,50
31,1,1,0,136044,YRYA01009XXX003K,81,1,01,9,北海ブ,北海道,北海９区,3,0,1,0,立野広志,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,01,03,07,03,02,01,,,,,,,,,09,03,05,04,01,01,01,01,01,02,04,05,05,03,05,05,02,02,05,,,,,,,,,,,,,,,,,,,,,05,04,05,05,04,02,03,01,,,03,,,,07,08,,,0,0,50,0,100,0,40,50,0
32,1,1,0,137491,YRYA01009XXX004K,81,1,01,9,北海ブ,北海道,北海９区,4,15,2,9,松下英樹,3,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,07,11,04,04,04,,,,04,05,,,,,02,02,03,04,01,02,03,01,02,02,01,02,03,03,01,03,02,01,,,03,,,,,,,10,,,,,,,,18,,,01,01,02,01,02,02,03,04,,02,,,,,,,,,100,80,30,50,0,70,30,30,30
33,1,1,0,135698,YRYA01010XXX001K,81,1,01,10,北海ブ,北海道,北海１０区,1,0,2,0,稲津久,1,3,02,公明党,公明,,○,,,,,,,,,,,,,,,,,13,05,07,03,02,02,,,,,,,,,09,02,03,02,02,02,02,02,02,02,02,03,02,02,03,02,02,02,01,,,,,05,06,,,,,,,,,,,,,,,05,01,02,02,02,02,03,02,01,,,,,,,,,,80,100,20,30,10,30,10,10,10
34,1,1,0,135699,YRYA01010XXX002K,81,1,01,10,北海ブ,北海道,北海１０区,2,2,1,9,神谷裕,1,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,13,07,04,03,04,01,01,,03,,,,,,,03,04,03,02,01,02,02,01,04,03,04,03,02,03,01,01,01,04,,,,,,,,,,,,,,,,,,,,,05,03,04,04,04,03,03,01,,,,,,06,07,08,,,50,50,90,50,50,50,50,50,50
35,1,1,0,135701,YRYA01011XXX001K,81,1,01,11,北海ブ,北海道,北海１１区,1,3,1,10,石川香織,1,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,13,07,05,03,04,02,,,,,,,,,09,02,03,04,02,02,02,02,02,02,03,05,03,03,03,02,02,02,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,03,02,03,01,,,,,,06,,08,,,25,50,100,50,50,75,50,75,50
36,1,1,0,135702,YRYA01011XXX002K,81,1,01,11,北海ブ,北海道,北海１１区,2,4,2,10,中川郁子,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,05,12,03,04,04,,,,,,,,,09,04,02,02,02,02,02,03,02,02,02,02,02,02,01,01,02,01,01,,,03,,,,,,,10,,,,,,,,18,,,02,01,01,03,02,04,02,02,,02,,,,,,,,,100,80,,,,,,,
37,1,1,0,136647,YRYA01011XXX003K,81,1,01,11,北海ブ,北海道,北海１１区,3,0,3,0,佐藤耕平,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,11,06,14,03,03,01,,,,,,,,,09,03,05,,01,02,01,01,01,03,04,05,05,03,05,01,01,03,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,05,01,03,01,,,,,,,,,,,50,50,50,50,100,50,0,50,50
38,1,1,0,135764,YRYA01012XXX001K,81,1,01,12,北海ブ,北海道,北海１２区,1,6,2,11,川原田英世,3,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,13,14,05,02,02,01,,,,,,,,,09,01,05,03,01,01,02,02,01,02,03,05,05,03,04,01,01,01,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,05,01,03,01,,,,,,06,,08,,,10,10,90,30,60,70,70,80,50
39,1,1,0,135870,YRYA01012XXX002K,81,1,01,12,北海ブ,北海道,北海１２区,2,12,1,11,武部新,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,09,13,04,02,03,02,,,,,,,,,,02,02,02,02,02,02,02,02,02,02,01,01,03,02,01,03,03,01,,,03,,,,,08,,10,,,,,,,,18,,,01,,01,01,02,02,,04,,02,,,,,,,,,100,80,10,50,0,30,0,0,0
40,1,1,0,135760,YRYA02001XXX001K,82,2,02,1,東北ブ,青森県,青森１区,1,18,1,3,津島淳,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,07,16,03,04,02,01,02,03,,05,06,,,,01,03,02,02,02,03,03,02,02,02,01,01,02,01,01,02,01,01,01,,03,,05,,,,,,,,,,,,,,,,01,02,01,01,02,02,02,05,,02,,,,,,,,,100,80,20,50,0,30,10,5,10
41,1,1,0,135761,YRYA02001XXX002K,82,2,02,1,東北ブ,青森県,青森１区,2,14,2,2,升田世喜男,2,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,14,16,13,03,04,01,,,,,,,,,09,01,04,03,02,01,03,03,01,02,03,03,02,02,02,03,04,02,03,,,,,,,,,,,,,,,,,,,,,04,02,03,05,03,01,03,02,,,,04,,06,,08,,,40,40,80,60,40,70,60,50,40
42,1,1,0,135912,YRYA02001XXX003K,82,2,02,1,東北ブ,青森県,青森１区,3,0,3,0,斎藤美緒,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,14,03,04,03,03,01,,,,04,,,,,,03,05,02,01,02,02,01,01,04,04,05,05,03,02,02,01,01,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,05,03,03,01,,,,,,,,,,,50,50,50,50,100,50,50,50,50
43,1,1,0,135762,YRYA02002XXX001K,82,2,02,2,東北ブ,青森県,青森２区,1,19,2,4,神田潤一,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,11,14,03,05,02,,02,,,05,,,,,02,03,03,04,01,02,03,02,03,02,02,01,02,01,02,03,01,01,,,03,,,,,,,10,,,,,,,,18,,,01,02,01,01,02,02,03,03,,02,,,,,,,,,80,75,55,40,10,50,5,20,15
44,1,1,0,136143,YRYA02002XXX002K,82,2,02,2,東北ブ,青森県,青森２区,2,1,1,1,金濱亨,3,13,06,国民民主党,国民,,○,,,,,,,,,,,,,,,,,14,02,11,04,01,01,,,,,,,,,09,01,02,02,04,01,04,02,01,02,01,01,01,02,01,02,02,02,01,,,03,,,,,,,,,,13,,,,17,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1,1,0,137124,YRYA02002XXX003K,82,2,02,2,東北ブ,青森県,青森２区,3,0,3,0,久保将,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,14,03,11,03,03,01,,,,04,,,,,,03,05,02,01,02,02,01,01,04,04,05,05,03,02,02,01,01,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,05,03,03,01,,,,,,,,,,,50,50,50,50,100,50,50,50,50
46,1,1,0,137494,YRYA02002XXX004K,82,2,02,2,東北ブ,青森県,青森２区,4,0,4,0,松尾和彦,3,924,11,無所属,無所属,,○,,,,,,,,,,,,,,,,,16,01,13,03,03,02,,,,,,,,,09,03,03,03,03,03,02,03,02,02,03,03,03,02,03,02,02,02,02,,,,,,,,08,,10,,,13,,,16,,,19,,03,02,03,05,03,02,03,02,,,03,,,,,,,,50,50,80,50,50,50,50,50,50
47,1,1,0,135763,YRYA02003XXX001K,82,2,02,3,東北ブ,青森県,青森３区,1,0,1,0,木村次郎,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,07,05,03,04,03,,,,,,,,08,,02,02,03,03,02,02,03,02,03,02,03,02,02,03,02,03,03,01,,,03,,,,,,,10,,,,,,,,18,,,01,01,01,03,02,02,02,03,,02,,,,,,,,,80,80,10,10,0,20,0,0,0
48,1,1,0,136274,YRYA02003XXX002K,82,2,02,3,東北ブ,青森県,青森３区,2,4,4,1,長坂淳也,3,87,04,日本維新の会,維新,,○,,,,,,,,,,,,,,,,,14,13,04,03,01,01,,,,,,,,,09,01,01,03,03,01,03,03,01,02,02,03,02,03,03,01,03,03,01,,,03,,,,,,,,11,,,,,,,18,,,01,02,03,05,03,03,02,03,01,02,,,,06,,,,,20,50,,100,0,70,0,0,0
49,1,1,0,136410,YRYA02003XXX003K,82,2,02,3,東北ブ,青森県,青森３区,3,15,2,3,岡田華子,3,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,05,07,14,02,04,02,01,02,,,,,,,,04,03,04,02,02,02,03,02,03,03,03,04,02,04,02,02,02,04,,,,,,,,,,,,,,,,,,,,,04,03,02,04,02,02,03,01,,02,,04,05,06,07,08,09,10,25,50,100,50,50,100,50,50,50
50,1,1,0,136411,YRYA02003XXX004K,82,2,02,3,東北ブ,青森県,青森３区,4,0,3,0,其田寿一,3,932,11,無所属,無所属,,○,,,,,,,,,,,,,,,,,02,01,07,03,03,04,01,,,,,,07,,,05,02,01,01,01,01,05,03,04,03,05,04,03,05,01,01,01,02,,,,,,,,,,,,,,,15,16,,18,,,05,04,02,01,04,01,02,01,01,02,,,05,06,,,,,,,,,,,,,
51,1,1,0,135678,YRYA03001XXX001K,82,3,03,1,東北ブ,岩手県,岩手１区,1,11,2,4,階猛,1,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,01,16,13,02,05,03,01,,,04,,,,,,03,04,02,02,02,04,03,03,03,03,05,03,02,03,03,03,02,03,,,,,,,,,,,,,,,,,,,,,05,02,04,05,04,02,03,02,,,,,,06,,08,,,50,40,100,40,20,60,30,70,20
52,1,1,0,135681,YRYA03001XXX002K,82,3,03,1,東北ブ,岩手県,岩手１区,2,15,1,5,米内紘正,3,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,16,09,13,03,04,04,,,,,,,,,09,01,03,02,02,02,03,03,01,02,02,01,01,02,01,01,03,02,01,,,03,,,,,,,10,,,,,,,,18,,,01,02,01,04,02,04,02,05,,02,,,,06,,,,,50,50,50,50,50,50,50,50,50
53,1,1,0,135683,YRYA03002XXX001K,82,3,03,2,東北ブ,岩手県,岩手２区,1,0,1,0,鈴木俊一,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,12,16,02,05,02,,,,04,05,,,,,03,02,02,02,02,03,03,02,03,02,03,01,02,01,01,03,02,02,,,03,,,,,,,10,,,,,,,,18,,,01,,01,01,03,02,,,,02,,,,,,,,,80,60,0,0,0,0,0,0,0
55,1,1,0,135687,YRYA03003XXX001K,82,3,03,3,東北ブ,岩手県,岩手３区,1,0,1,0,藤原崇,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,05,09,01,04,04,01,,02,,,,06,,,,01,02,01,02,01,02,02,01,02,02,02,01,02,01,01,02,02,01,,,03,,,,,,,10,,,,,,,,,,,01,02,01,04,02,01,02,02,,02,,04,,,,,,,50,50,50,50,50,50,50,50,50
56,1,1,0,135688,YRYA03003XXX002K,82,3,03,3,東北ブ,岩手県,岩手３区,2,13,2,6,小沢一郎,1,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,14,05,06,03,04,01,,,,,,,,,09,02,04,03,02,02,03,03,01,03,03,04,03,03,03,02,02,02,04,,,,,,,,,,,,,,,,,,,,,05,03,05,01,02,04,03,03,,,,,,,,,,,,,,,,,,,
